competition_track,canonical_position_code,athlete_name,position_family,nationality,hub_elite_score,seed_rank_anchor,shortlist_stage,source_audit_status,inclusion_type,priority_block,owner,target_shortlist_size,current_shortlist_size,next_expansion_target,notes
feminino,lateral_esquerdo,Sakina Karchaoui,lateral,France,86,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_esquerdo,Katie McCabe,lateral,Ireland,84,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_esquerdo,Selma Bacha,lateral,France,84,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_esquerdo,Niamh Charles,lateral,England,82,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_central,Aitana Bonmati,meia,Spain,96,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_central,Kim Little,meia,Scotland,88,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_central,Lindsey Horan,meia,United States,88,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_central,Grace Geyoro,meia,France,84,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_central,Rose Lavelle,meia,United States,84,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,segundo_atacante,Vivianne Miedema,atacante,Netherlands,92,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,segundo_atacante,Ewa Pajor,atacante,Poland,87,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,segundo_atacante,Kosovare Asllani,atacante,Sweden,87,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,segundo_atacante,Sophia Smith,atacante,United States,86,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,segundo_atacante,Lineth Beerensteyn,atacante,Netherlands,81,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_direito,Cafu,lateral,Brazil,95,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_direito,Dani Alves,lateral,Brazil,94,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_direito,Philipp Lahm,lateral,Germany,94,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_direito,Javier Zanetti,lateral,Argentina,92,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_direito,Maicon,lateral,Brazil,88,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_esquerdo,Paolo Maldini,lateral,Italy,96,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_esquerdo,Roberto Carlos,lateral,Brazil,95,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_esquerdo,Marcelo,lateral,Brazil,92,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_esquerdo,Ashley Cole,lateral,England,90,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,lateral_esquerdo,Jordi Alba,lateral,Spain,88,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_central,Luka Modric,meia,Croatia,97,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_central,Xavi Hernandez,meia,Spain,96,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_central,Andres Iniesta,meia,Spain,95,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_central,Andrea Pirlo,meia,Italy,93,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_central,Kevin De Bruyne,meia,Belgium,92,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,segundo_atacante,Francesco Totti,atacante,Italy,92,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,segundo_atacante,Roberto Baggio,atacante,Italy,91,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,segundo_atacante,Wayne Rooney,atacante,England,91,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,segundo_atacante,Antoine Griezmann,atacante,France,90,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,segundo_atacante,Dennis Bergkamp,atacante,Netherlands,89,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_direita,Caroline Graham Hansen,ponta,Norway,94,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_direita,Beth Mead,ponta,England,87,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_direita,Delphine Cascarino,ponta,France,86,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_direita,Kadidiatou Diani,ponta,France,85,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_direita,Trinity Rodman,ponta,United States,84,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_esquerda,Megan Rapinoe,ponta,United States,91,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_esquerda,Lauren Hemp,ponta,England,85,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_esquerda,Guro Reiten,ponta,Norway,83,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_esquerda,Mallory Swanson,ponta,United States,83,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,ponta_esquerda,Salma Paralluelo,ponta,Spain,83,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_direita,Lionel Messi,ponta,Argentina,99,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_direita,Mohamed Salah,ponta,Egypt,93,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_direita,Luis Figo,ponta,Portugal,91,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_direita,Angel Di Maria,ponta,Argentina,90,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_direita,Arjen Robben,ponta,Netherlands,90,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_esquerda,Cristiano Ronaldo,ponta,Portugal,99,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_esquerda,Neymar,ponta,Brazil,93,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_esquerda,Franck Ribery,ponta,France,89,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_esquerda,Eden Hazard,ponta,Belgium,88,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,ponta_esquerda,Vinicius Junior,ponta,Brazil,87,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_3_wide_profiles,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,centroavante,Christine Sinclair,atacante,Canada,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,centroavante,Vivianne Miedema,atacante,Netherlands,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,centroavante,Mia Hamm,atacante,United States,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,centroavante,Ellen White,atacante,England,,9,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,centroavante,Catarina Macario,atacante,United States,,10,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,goleiro,Nadine Angerer,goleiro,Germany,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,goleiro,Briana Scurry,goleiro,United States,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,goleiro,Hedvig Lindahl,goleiro,Sweden,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,goleiro,Sarah Bouhaddi,goleiro,France,,9,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,goleiro,Sandra Panos,goleiro,Spain,,10,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,meia_ofensivo,Marta,meia,Brazil,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Lara Nascimento,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,meia_ofensivo,Kim Little,meia,Scotland,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Lara Nascimento,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,meia_ofensivo,Ji So-yun,meia,South Korea,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Lara Nascimento,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,meia_ofensivo,Ella Toone,meia,England,,9,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Lara Nascimento,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,meia_ofensivo,Kosovare Asllani,meia,Sweden,,10,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Lara Nascimento,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,volante,Amandine Henry,volante,France,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,volante,Grace Geyoro,volante,France,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,volante,Lia Walti,volante,Switzerland,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,volante,Georgia Stanway,volante,England,,9,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,zagueiro,Becky Sauerbrunn,zagueiro,United States,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,zagueiro,Kadeisha Buchanan,zagueiro,Canada,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
feminino,zagueiro,Rafaelle,zagueiro,Brazil,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
masculino,centroavante,Luis Suarez,atacante,Uruguay,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
masculino,goleiro,Thibaut Courtois,goleiro,Belgium,,6,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
masculino,goleiro,Edwin van der Sar,goleiro,Netherlands,,7,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
masculino,goleiro,Petr Cech,goleiro,Czech Republic,,8,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
masculino,goleiro,Dida,goleiro,Brazil,,9,top10_audited_approved,external_audit_passed,discovery_promoted,phase_1_core_positions,Diego Torres,25,25,25,promovido via discovery aprovado para top 10 auditado
